iter	Passed	Remaining
0	147	147777
1	153	76386
2	157	52379
3	161	40332
4	167	33266
5	171	28374
6	174	24718
7	176	21927
8	178	19700
9	181	17941
10	183	16484
11	185	15242
12	186	14196
13	188	13290
14	190	12492
15	191	11799
16	193	11180
17	194	10621
18	196	10120
19	197	9666
20	198	9252
21	199	8872
22	200	8528
23	201	8211
24	202	7914
25	203	7639
26	204	7385
27	206	7151
28	207	6934
29	208	6726
30	208	6531
31	209	6349
32	210	6177
33	211	6018
34	212	5868
35	213	5724
36	214	5586
37	215	5457
38	216	5334
39	217	5218
40	218	5108
41	219	5003
42	220	4904
43	221	4809
44	222	4717
45	223	4627
46	224	4542
47	225	4465
48	226	4388
49	226	4311
50	227	4238
51	228	4168
52	229	4101
53	230	4036
54	232	3986
55	233	3929
56	234	3875
57	235	3824
58	236	3772
59	238	3730
60	239	3683
61	241	3653
62	243	3621
63	245	3586
64	247	3553
65	248	3519
66	249	3478
67	251	3441
68	254	3435
69	258	3434
70	261	3425
71	263	3392
72	264	3361
73	268	3354
74	270	3340
75	272	3310
76	273	3275
77	274	3243
78	276	3218
79	277	3188
80	278	3156
81	279	3125
82	279	3090
83	281	3065
84	282	3036
85	283	3008
86	284	2982
87	285	2957
88	286	2930
89	287	2904
90	288	2878
91	289	2852
92	290	2828
93	290	2803
94	291	2779
95	292	2757
96	293	2736
97	295	2717
98	296	2698
99	298	2682
100	299	2662
101	300	2641
102	301	2621
103	302	2602
104	303	2585
105	304	2566
106	305	2549
107	306	2530
108	308	2518
109	309	2503
110	312	2502
111	314	2491
112	315	2474
113	316	2457
114	317	2442
115	318	2429
116	319	2412
117	320	2397
118	322	2383
119	323	2369
120	324	2356
121	325	2342
122	326	2330
123	327	2317
124	329	2303
125	330	2290
126	331	2276
127	332	2263
128	333	2252
129	334	2239
130	335	2227
131	337	2216
132	338	2205
133	339	2195
134	341	2185
135	342	2174
136	343	2164
137	344	2152
138	345	2140
139	346	2129
140	347	2119
141	348	2106
142	349	2095
143	350	2085
144	351	2073
145	352	2063
146	353	2053
147	355	2043
148	356	2035
149	358	2032
150	359	2023
151	363	2027
152	364	2019
153	366	2014
154	368	2008
155	370	2005
156	372	1998
157	373	1988
158	374	1983
159	376	1976
160	377	1966
161	379	1960
162	380	1952
163	381	1946
164	383	1939
165	384	1930
166	385	1921
167	386	1913
168	387	1905
169	388	1897
170	389	1888
171	390	1879
172	391	1871
173	392	1864
174	393	1856
175	394	1848
176	396	1841
177	397	1834
178	398	1826
179	399	1819
180	400	1812
181	401	1805
182	402	1798
183	403	1790
184	404	1783
185	405	1776
186	406	1769
187	407	1761
188	408	1754
189	410	1748
190	411	1741
191	412	1735
192	413	1729
193	414	1722
194	415	1716
195	416	1709
196	417	1703
197	419	1697
198	420	1691
199	421	1684
200	422	1678
201	423	1672
202	424	1667
203	425	1661
204	426	1655
205	428	1650
206	429	1645
207	430	1639
208	432	1635
209	433	1630
210	434	1624
211	435	1618
212	436	1613
213	437	1606
214	438	1602
215	439	1597
216	441	1591
217	442	1585
218	443	1580
219	444	1575
220	445	1570
221	446	1565
222	448	1561
223	449	1556
224	450	1551
225	451	1546
226	452	1540
227	453	1536
228	454	1531
229	456	1526
230	457	1522
231	458	1518
232	459	1513
233	461	1509
234	462	1504
235	463	1500
236	464	1495
237	465	1490
238	468	1491
239	469	1487
240	471	1483
241	472	1480
242	474	1477
243	475	1472
244	476	1468
245	477	1463
246	478	1459
247	479	1454
248	481	1451
249	482	1447
250	483	1442
251	484	1437
252	485	1433
253	486	1429
254	488	1426
255	489	1422
256	490	1418
257	491	1414
258	493	1410
259	494	1406
260	495	1403
261	496	1399
262	498	1396
263	499	1393
264	500	1389
265	502	1385
266	503	1382
267	504	1378
268	506	1375
269	507	1371
270	508	1367
271	509	1363
272	510	1359
273	511	1355
274	512	1351
275	513	1347
276	514	1344
277	516	1340
278	517	1337
279	518	1333
280	519	1330
281	520	1326
282	522	1322
283	523	1318
284	524	1314
285	525	1310
286	526	1307
287	527	1303
288	528	1299
289	529	1296
290	530	1293
291	531	1289
292	532	1286
293	534	1283
294	535	1279
295	536	1276
296	537	1272
297	538	1269
298	540	1266
299	541	1262
300	542	1259
301	543	1256
302	544	1252
303	545	1249
304	546	1245
305	547	1242
306	548	1239
307	550	1235
308	551	1232
309	552	1229
310	553	1225
311	554	1222
312	555	1218
313	556	1215
314	557	1212
315	559	1210
316	560	1206
317	561	1203
318	562	1199
319	563	1197
320	564	1194
321	565	1191
322	567	1188
323	568	1185
324	569	1183
325	570	1179
326	571	1176
327	573	1174
328	574	1171
329	575	1168
330	576	1164
331	577	1161
332	578	1158
333	579	1155
334	580	1152
335	581	1149
336	582	1146
337	583	1143
338	584	1140
339	585	1137
340	586	1134
341	587	1131
342	589	1128
343	590	1125
344	591	1122
345	592	1119
346	593	1116
347	594	1113
348	595	1110
349	596	1107
350	597	1104
351	598	1101
352	599	1098
353	600	1095
354	601	1092
355	602	1089
356	603	1086
357	604	1083
358	605	1081
359	606	1078
360	607	1076
361	609	1073
362	610	1070
363	611	1068
364	612	1065
365	613	1062
366	614	1059
367	615	1056
368	616	1054
369	617	1051
370	618	1048
371	619	1046
372	620	1043
373	621	1040
374	622	1038
375	623	1035
376	624	1032
377	625	1029
378	626	1026
379	627	1023
380	628	1021
381	629	1018
382	630	1015
383	631	1012
384	632	1009
385	633	1007
386	633	1004
387	634	1001
388	635	998
389	636	995
390	637	993
391	638	990
392	639	988
393	640	985
394	641	983
395	642	980
396	643	977
397	644	975
398	645	972
399	646	970
400	647	967
401	648	965
402	649	962
403	650	960
404	651	957
405	652	954
406	653	952
407	654	949
408	655	947
409	656	944
410	657	942
411	658	939
412	659	937
413	660	935
414	661	932
415	662	929
416	663	927
417	664	925
418	665	922
419	666	920
420	667	918
421	668	916
422	669	913
423	671	911
424	672	909
425	673	906
426	673	904
427	674	901
428	675	899
429	677	897
430	678	895
431	679	893
432	680	890
433	681	888
434	682	886
435	683	884
436	684	881
437	685	879
438	686	877
439	687	875
440	688	872
441	689	870
442	690	868
443	691	865
444	692	863
445	693	861
446	694	859
447	695	856
448	696	854
449	697	852
450	698	850
451	699	848
452	700	845
453	701	843
454	702	841
455	703	839
456	704	837
457	705	835
458	707	833
459	708	831
460	709	829
461	710	827
462	711	825
463	712	823
464	713	820
465	714	818
466	715	816
467	716	814
468	717	812
469	718	809
470	719	807
471	720	805
472	721	803
473	722	801
474	723	799
475	724	797
476	725	795
477	726	793
478	727	791
479	728	789
480	729	787
481	730	785
482	731	783
483	732	781
484	733	779
485	734	777
486	735	775
487	736	773
488	737	771
489	739	769
490	740	767
491	740	765
492	741	762
493	742	760
494	743	758
495	744	756
496	745	754
497	746	752
498	747	750
499	748	748
500	749	746
501	750	744
502	751	742
503	752	740
504	753	738
505	754	736
506	755	734
507	756	732
508	757	730
509	758	728
510	759	726
511	760	724
512	761	722
513	762	720
514	763	718
515	764	716
516	765	714
517	766	713
518	767	711
519	768	709
520	769	707
521	770	705
522	771	703
523	772	701
524	773	699
525	774	698
526	775	696
527	776	694
528	777	692
529	778	690
530	779	688
531	780	686
532	781	684
533	782	682
534	783	680
535	784	678
536	785	677
537	786	675
538	787	673
539	788	671
540	789	669
541	790	667
542	791	665
543	792	664
544	793	662
545	794	660
546	795	658
547	796	656
548	797	654
549	798	653
550	799	651
551	800	649
552	801	647
553	802	645
554	803	644
555	804	642
556	805	640
557	806	638
558	807	636
559	807	634
560	808	633
561	809	631
562	810	629
563	811	627
564	812	625
565	814	624
566	815	622
567	816	620
568	817	619
569	818	617
570	819	615
571	820	613
572	821	612
573	822	610
574	823	608
575	824	607
576	825	605
577	826	603
578	827	601
579	828	600
580	830	598
581	831	596
582	832	595
583	833	593
584	834	592
585	835	590
586	837	588
587	838	587
588	839	585
589	840	583
590	841	582
591	842	580
592	843	578
593	844	577
594	845	575
595	846	573
596	847	572
597	848	570
598	849	568
599	850	566
600	851	565
601	852	563
602	853	561
603	854	560
604	855	558
605	856	557
606	857	555
607	858	553
608	859	551
609	860	550
610	861	548
611	862	546
612	863	545
613	864	543
614	865	541
615	866	540
616	867	538
617	868	536
618	869	535
619	870	533
620	871	531
621	872	530
622	873	528
623	874	527
624	875	525
625	876	523
626	878	522
627	879	521
628	881	519
629	882	518
630	885	517
631	887	516
632	888	515
